Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
34.207	0.10000	994.30	0.0010057	143.30	143.41	0.49433	4.0993	4.1793	1518.3	-0.21555	730.66	0.62058	liquid
34.407	0.10000	994.24	0.0010058	144.14	144.24	0.49705	4.0984	4.1793	1518.7	-0.21542	727.72	0.62086	liquid
34.607	0.10000	994.17	0.0010059	144.98	145.08	0.49977	4.0975	4.1793	1519.1	-0.21530	724.80	0.62114	liquid
34.807	0.10000	994.10	0.0010059	145.81	145.91	0.50248	4.0966	4.1793	1519.5	-0.21517	721.90	0.62143	liquid
35.007	0.10000	994.03	0.0010060	146.65	146.75	0.50519	4.0958	4.1793	1519.9	-0.21505	719.02	0.62171	liquid
35.207	0.10000	993.96	0.0010061	147.48	147.58	0.50790	4.0949	4.1793	1520.2	-0.21493	716.16	0.62199	liquid
35.407	0.10000	993.89	0.0010061	148.32	148.42	0.51061	4.0940	4.1792	1520.6	-0.21481	713.32	0.62227	liquid
35.607	0.10000	993.82	0.0010062	149.16	149.26	0.51332	4.0931	4.1792	1521.0	-0.21468	710.49	0.62255	liquid
35.807	0.10000	993.75	0.0010063	149.99	150.09	0.51603	4.0922	4.1792	1521.4	-0.21456	707.68	0.62283	liquid
36.007	0.10000	993.68	0.0010064	150.83	150.93	0.51873	4.0914	4.1792	1521.8	-0.21444	704.89	0.62311	liquid
36.207	0.10000	993.61	0.0010064	151.66	151.76	0.52144	4.0905	4.1792	1522.2	-0.21432	702.12	0.62338	liquid
36.407	0.10000	993.54	0.0010065	152.50	152.60	0.52414	4.0896	4.1792	1522.6	-0.21420	699.37	0.62366	liquid
36.607	0.10000	993.47	0.0010066	153.33	153.43	0.52683	4.0887	4.1792	1522.9	-0.21407	696.63	0.62394	liquid
36.807	0.10000	993.40	0.0010066	154.17	154.27	0.52953	4.0878	4.1792	1523.3	-0.21395	693.91	0.62421	liquid
37.007	0.10000	993.33	0.0010067	155.01	155.11	0.53223	4.0869	4.1792	1523.7	-0.21383	691.21	0.62448	liquid
37.207	0.10000	993.25	0.0010068	155.84	155.94	0.53492	4.0860	4.1793	1524.0	-0.21371	688.53	0.62476	liquid
37.407	0.10000	993.18	0.0010069	156.68	156.78	0.53761	4.0851	4.1793	1524.4	-0.21359	685.86	0.62503	liquid
37.607	0.10000	993.11	0.0010069	157.51	157.61	0.54030	4.0842	4.1793	1524.8	-0.21347	683.21	0.62530	liquid
37.807	0.10000	993.04	0.0010070	158.35	158.45	0.54299	4.0833	4.1793	1525.1	-0.21335	680.57	0.62557	liquid
