Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
5.8667	0.10000	1.3806	0.72435	181.01	253.44	6.3497	0.65588	0.91727	318.14	3.0485	19.478	0.024820	vapor
6.1333	0.10000	1.3792	0.72504	181.18	253.69	6.3506	0.65591	0.91730	318.29	3.0430	19.493	0.024842	vapor
6.4000	0.10000	1.3779	0.72574	181.36	253.93	6.3514	0.65595	0.91733	318.44	3.0376	19.508	0.024863	vapor
6.6667	0.10000	1.3766	0.72643	181.53	254.18	6.3523	0.65598	0.91735	318.59	3.0321	19.523	0.024884	vapor
6.9333	0.10000	1.3753	0.72712	181.71	254.42	6.3532	0.65601	0.91738	318.74	3.0267	19.538	0.024906	vapor
7.2000	0.10000	1.3740	0.72782	181.88	254.66	6.3541	0.65604	0.91741	318.89	3.0213	19.553	0.024927	vapor
7.4667	0.10000	1.3727	0.72851	182.06	254.91	6.3549	0.65607	0.91744	319.04	3.0159	19.568	0.024948	vapor
7.7333	0.10000	1.3713	0.72921	182.23	255.15	6.3558	0.65611	0.91747	319.19	3.0105	19.583	0.024970	vapor
8.0000	0.10000	1.3700	0.72990	182.41	255.40	6.3567	0.65614	0.91750	319.34	3.0051	19.599	0.024991	vapor
8.2667	0.10000	1.3687	0.73060	182.58	255.64	6.3575	0.65617	0.91753	319.49	2.9997	19.614	0.025012	vapor
8.5333	0.10000	1.3674	0.73129	182.76	255.89	6.3584	0.65620	0.91756	319.64	2.9943	19.629	0.025034	vapor
8.8000	0.10000	1.3661	0.73199	182.93	256.13	6.3593	0.65624	0.91759	319.79	2.9890	19.644	0.025055	vapor
9.0667	0.10000	1.3648	0.73268	183.11	256.38	6.3601	0.65627	0.91761	319.94	2.9837	19.659	0.025076	vapor
9.3333	0.10000	1.3636	0.73338	183.28	256.62	6.3610	0.65630	0.91764	320.09	2.9783	19.674	0.025098	vapor
9.6000	0.10000	1.3623	0.73407	183.46	256.87	6.3619	0.65634	0.91767	320.24	2.9730	19.689	0.025119	vapor
9.8667	0.10000	1.3610	0.73477	183.63	257.11	6.3627	0.65637	0.91770	320.39	2.9677	19.704	0.025140	vapor
10.133	0.10000	1.3597	0.73546	183.81	257.36	6.3636	0.65640	0.91773	320.54	2.9624	19.719	0.025162	vapor
10.400	0.10000	1.3584	0.73616	183.99	257.60	6.3645	0.65644	0.91776	320.69	2.9571	19.734	0.025183	vapor
10.667	0.10000	1.3571	0.73685	184.16	257.85	6.3653	0.65647	0.91779	320.83	2.9519	19.749	0.025204	vapor
10.933	0.10000	1.3558	0.73755	184.34	258.09	6.3662	0.65650	0.91782	320.98	2.9466	19.764	0.025225	vapor
11.200	0.10000	1.3546	0.73824	184.51	258.34	6.3671	0.65654	0.91785	321.13	2.9414	19.779	0.025247	vapor
11.467	0.10000	1.3533	0.73894	184.69	258.58	6.3679	0.65657	0.91789	321.28	2.9362	19.794	0.025268	vapor
11.733	0.10000	1.3520	0.73963	184.86	258.82	6.3688	0.65660	0.91792	321.43	2.9309	19.809	0.025289	vapor
12.000	0.10000	1.3508	0.74033	185.04	259.07	6.3696	0.65664	0.91795	321.58	2.9257	19.824	0.025310	vapor
12.267	0.10000	1.3495	0.74102	185.21	259.31	6.3705	0.65667	0.91798	321.73	2.9205	19.839	0.025332	vapor
12.533	0.10000	1.3482	0.74172	185.39	259.56	6.3713	0.65671	0.91801	321.87	2.9154	19.854	0.025353	vapor
12.800	0.10000	1.3470	0.74241	185.56	259.80	6.3722	0.65674	0.91804	322.02	2.9102	19.869	0.025374	vapor
13.067	0.10000	1.3457	0.74311	185.74	260.05	6.3731	0.65678	0.91807	322.17	2.9050	19.884	0.025395	vapor
13.333	0.10000	1.3444	0.74380	185.91	260.29	6.3739	0.65681	0.91810	322.32	2.8999	19.899	0.025417	vapor
13.600	0.10000	1.3432	0.74450	186.09	260.54	6.3748	0.65685	0.91814	322.47	2.8947	19.914	0.025438	vapor
13.867	0.10000	1.3419	0.74519	186.26	260.78	6.3756	0.65688	0.91817	322.62	2.8896	19.929	0.025459	vapor
14.133	0.10000	1.3407	0.74589	186.44	261.03	6.3765	0.65692	0.91820	322.76	2.8845	19.944	0.025480	vapor
