Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.10000	32.800	23.814	0.041992	2367.6	3744.9	28.033	10.355	14.836	1563.0	-0.43181	9.2356	0.20172	supercritical
0.10000	33.000	23.931	0.041787	2367.2	3746.2	28.007	10.356	14.838	1564.8	-0.43245	9.2431	0.20192	supercritical
0.10000	33.200	24.048	0.041584	2366.9	3747.5	27.981	10.358	14.839	1566.7	-0.43309	9.2507	0.20211	supercritical
0.10000	33.400	24.164	0.041383	2366.6	3748.8	27.956	10.359	14.841	1568.5	-0.43372	9.2583	0.20231	supercritical
0.10000	33.600	24.281	0.041185	2366.2	3750.0	27.930	10.361	14.843	1570.4	-0.43434	9.2659	0.20251	supercritical
0.10000	33.800	24.397	0.040989	2365.9	3751.3	27.905	10.363	14.845	1572.2	-0.43497	9.2736	0.20270	supercritical
0.10000	34.000	24.513	0.040795	2365.6	3752.6	27.880	10.364	14.847	1574.1	-0.43558	9.2812	0.20290	supercritical
0.10000	34.200	24.628	0.040604	2365.3	3753.9	27.855	10.366	14.848	1576.0	-0.43619	9.2889	0.20310	supercritical
0.10000	34.400	24.743	0.040415	2364.9	3755.2	27.830	10.368	14.850	1577.8	-0.43680	9.2965	0.20330	supercritical
0.10000	34.600	24.858	0.040228	2364.6	3756.5	27.805	10.369	14.852	1579.7	-0.43741	9.3042	0.20349	supercritical
0.10000	34.800	24.973	0.040043	2364.3	3757.8	27.780	10.371	14.854	1581.5	-0.43801	9.3119	0.20369	supercritical
0.10000	35.000	25.087	0.039861	2364.0	3759.1	27.756	10.372	14.855	1583.3	-0.43860	9.3196	0.20389	supercritical
0.10000	35.200	25.201	0.039680	2363.7	3760.4	27.732	10.374	14.857	1585.2	-0.43919	9.3274	0.20409	supercritical
0.10000	35.400	25.315	0.039502	2363.4	3761.7	27.707	10.376	14.859	1587.0	-0.43978	9.3351	0.20429	supercritical
0.10000	35.600	25.429	0.039325	2363.1	3763.0	27.683	10.377	14.861	1588.9	-0.44036	9.3429	0.20449	supercritical
0.10000	35.800	25.542	0.039151	2362.7	3764.3	27.659	10.379	14.862	1590.7	-0.44094	9.3506	0.20469	supercritical
0.10000	36.000	25.655	0.038978	2362.4	3765.7	27.636	10.381	14.864	1592.6	-0.44151	9.3584	0.20489	supercritical
0.10000	36.200	25.768	0.038808	2362.1	3767.0	27.612	10.382	14.866	1594.4	-0.44208	9.3662	0.20509	supercritical
0.10000	36.400	25.880	0.038639	2361.8	3768.3	27.588	10.384	14.867	1596.3	-0.44265	9.3740	0.20530	supercritical
0.10000	36.600	25.993	0.038472	2361.5	3769.6	27.565	10.385	14.869	1598.1	-0.44321	9.3819	0.20550	supercritical
0.10000	36.800	26.105	0.038307	2361.2	3770.9	27.542	10.387	14.870	1599.9	-0.44377	9.3897	0.20570	supercritical
0.10000	37.000	26.216	0.038144	2360.9	3772.2	27.519	10.389	14.872	1601.8	-0.44432	9.3975	0.20590	supercritical
0.10000	37.200	26.328	0.037983	2360.6	3773.6	27.496	10.390	14.874	1603.6	-0.44487	9.4054	0.20611	supercritical
